name,price,side_effects,used_for
Diclomol Tablet,₹ 77.50,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,","Pain relief,"
Duzela 20 Capsule DR,₹ 105,"Nausea,Headache,Dryness in mouth,Sleepiness,Dizziness,","Depression,Anxiety disorder,Diabetic nerve pain,Fibromyalgia,Neuropathic pain,Stress urinary incontinence,"
Dazit Tablet,₹ 93,"Sleepiness,Dizziness,","Treatment of Allergic conditions,"
Dapaglyn 10 Tablet,₹ 255,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Dulcolax Tablet,₹ 10.19,"Vomiting,Bloating,Nausea,Stomach cramp,","Constipation,"
Duolin Inhaler,₹ 310.12,"Dryness in mouth,Breathlessness,Cough,Tremor,Headache,Palpitations,Muscle cramp,","Chronic obstructive pulmonary disease (COPD),"
Dinogest Tablet,₹ 548,"Acne,Headache,Depression,Breast discomfort,","Endometriosis,"
Daflon 1000mg Tablet,₹ 200,"Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,","Varicose veins,"
Duphalac Oral Solution Lemon,₹ 171.67,"Abdominal pain,Nausea,Vomiting,Diarrhea,","Constipation,Hepatic encephalopathy,"
Brimolol Eye Drop,₹ 429,"Application site reactions (burning, irritation, itching and redness),Blurred vision,","Treatment of Ocular hypertension,Treatment of Glaucoma,"
Betaloc 50mg Tablet,₹ 149.40,"Orthostatic hypotension (sudden lowering of blood pressure on standing),Slow heart rate,Headache,Dizziness,Tiredness,Stomach pain,Nausea,Breathlessness,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Brufen 200 Tablet,₹ 6.30,"Vomiting,Stomach pain,Nausea,Indigestion,Heartburn,","Pain relief,Fever,"
Briviact 50mg Tablet,"₹ 1,494","Dizziness,Nausea,Sleepiness,Vomiting,Irritation,Behavioural changes,Headache,Agitation,Aggressive behavior,","Epilepsy/Seizures,"
Burnheal Cream,₹ 74.50,"Itching,Irritation,Burning sensation at the site of application,","Treatment of Burns,"
Betacap TR 20 Capsule,₹ 25.50,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Betnovate-S Ointment,₹ 33.05,"Application site reactions (burning, irritation, itching and redness),","Eczema,Psoriasis,"
Brozeet-LS Syrup,₹ 104.60,"Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremor,Palpitations,Muscle cramp,Increased heart rate,","Cough with mucus,"
Brite Cream,₹ 112,"Erythema (skin redness),Dry skin,Skin burn,Skin peeling,Itching,","Melasma,"
Betnesol Oral Drops,₹ 19.30,"Reduction in bone density,Upset stomach,","Allergic conditions,"
Buta Proxyvon Capsule,₹ 60.50,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,","Pain relief,"
Basaglar 100 Units/ml Cartridge,₹ 605,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),","Diabetes mellitus (Type 1 & Type 2),"
Bilanix Tablet,₹ 117,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Basalog 100IU/ml Refill Cartridge,₹610.53  ,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),","Diabetes mellitus (Type 1 & Type 2),"
Bisoheart 2.5 Tablet,₹ 50.60,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Bilagra Tablet,₹ 132,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Budamate 200 Transcaps,₹ 168.67,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Bexol Tablet,₹ 13.55,"Dryness in mouth,Nausea,Vomiting,Constipation,Blurred vision,Dizziness,Upset stomach,Headache,Difficulty in urination,Nervousness,","Parkinson's disease,Drug induced abnormal movements,"
Bromhexine Hydrochloride 8mg Tablet,₹ 55.60,"Irritation of ear,Allergic skin rash,Dizziness,Headache,","Treatment of Respiratory tract disorders associated with viscid mucus,"
Betakind Gargle,₹ 104.50,"No common side effects seen,","Treatment of Mouth infection,Treatment of Sore throat,Treatment of Dry mouth,"
Briv 50mg Tablet,₹ 140,"Dizziness,Nausea,Sleepiness,Vomiting,Irritation,Behavioural changes,Headache,Agitation,Aggressive behavior,","Epilepsy/Seizures,"
Betadine Vaginal Pessaries,₹ 180,"Application site reactions (burning, irritation, itching and redness),","Treatment and prevention of Vaginal Infections,"
Betadine Powder,₹ 120,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Bactoclav 625 Tablet,₹ 200.59,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Betheran 25mg Tablet,₹ 139,"Headache,Nausea,Vomiting,Sweating,Diarrhea,Arrhythmia (irregular heartbeats),Flushing (sense of warmth in the face, ears, neck and trunk),","Treatment of Urinary retention,"
Budez CR Capsule,₹ 211,"Headache,Respiratory tract infection,Back pain,Dizziness,Indigestion,Flatulence,","Treatment of Moderate to Severe Ulcerative colitis,"
Bilazest M Tablet,₹ 158,"Limited data available,","Treatment of Allergic conditions,"
Brintop F 5% Topical Solution,₹ 890,"Application site reactions (burning, irritation, itching and redness),Dry skin,Impotence,Decreased libido,Ejaculation disorder,Breast enlargement,Breast tenderness in male,Skin rash,","Treatment of Hair loss,"
Budesal 0.5mg Respules 2ml,₹ 181.50,"Hoarseness of voice,Sore throat,Fungal infection of mouth,Respiratory tract infection,Headache,Muscle cramp,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Benocide 100mg Forte  Tablet,₹ 43.39,"Headache,Dizziness,Vomiting,Abnormal liver function tests,Nausea,Abdominal pain,Hair loss,Fever,Vertigo,","Worm infections,Filariasis,"
HCQS 200 Tablet,₹ 99.78,"Blurred vision,Increased sensitivity to light,","Rheumatoid arthritis,Systemic lupus erythematosus (SLE),"
Hifenac-P Tablet,₹ 83,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Hetrazan 100 Tablet,₹ 44.16,"Headache,Dizziness,Vomiting,Abnormal liver function tests,Nausea,Abdominal pain,Hair loss,Fever,Vertigo,","Worm infections,Filariasis,"
Headset Tablet,₹ 104.95,"Nausea,Dizziness,Heartburn,Chest discomfort,Dryness in mouth,Weakness,Muscle stiffness,Drowsiness,Numbness of extremity,Arrhythmia (irregular heartbeats),Feeling hot,","Migraine,"
HHMite Cream,₹ 58.12,"Skin burn,Stinging sensation,","Scabies,"
HUCOG 5000 HP Injection,₹ 436.95,"Injection site pain,Headache,Fatigue,Depression,Irritation,Restlessness,","Female infertility,Male hypogonadism,"
Human Mixtard 70/30 Suspension for Injection 40IU/ml,₹ 157.57,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,Edema (swelling),Weight gain,","Diabetes mellitus (Type 1 & Type 2),"
Human Actrapid 40IU/ml Solution for Injection,₹ 157.57,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,","Diabetes mellitus (Type 1 & Type 2),"
Hifenac-MR Tablet,₹ 77.50,"Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,","Treatment of Muscular pain,"
Heptral 400mg Tablet,"₹ 1,061.89","Nausea,Diarrhea,Upset stomach,Constipation,Dizziness,","Treatment of Liver  disease,"
Hair 4U F Solution,₹ 674,"Application site reactions (burning, irritation, itching and redness),Dry skin,Impotence,Decreased libido,Ejaculation disorder,Breast enlargement,Breast tenderness in male,Skin rash,","Treatment of Hair loss,"
HP Kit,₹ 123,"Diarrhea,Nausea,Vomiting,Stomach pain,Flatulence,Dizziness,Tiredness,Headache,Skin rash,Dryness in mouth,Metallic taste,","Peptic ulcer disease,"
Histafree-M Tablet,₹ 139.90,"Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,","Sneezing and runny nose due to allergies,"
Hexidine Mouth Wash,₹ 258.50,"Taste change,Staining of teeth,Hard Dental Plaque,","Mouth infection,"
Hepamerz Tablet,₹ 201,"Nausea,Stomach pain,Bloating,Diarrhea,Constipation,","Indigestion,"
Hyponat-O 15 Tablet,₹ 561.95,"Frequent urge to urinate,Nocturia (increased urge to urinate during the night),Dryness in mouth,Increased thirst,Constipation,","Treatment of Low levels of sodium in the blood,"
Hyocimax-S Tablet,₹ 46.40,"Constipation,Dizziness,Drowsiness,Dryness in mouth,Difficulty in urination,Lightheadedness,Headache,Blurred vision,Flushing (sense of warmth in the face, ears, neck and trunk),Increased sensitivity to light,","Pain relief,Treatment of Peptic ulcer disease,Treatment of Irritable bowel syndrome,"
Hifenac-D  Tablet,₹ 106,"Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,","Pain relief,"
HCQS 400 Tablet,₹ 133.39,"Blurred vision,Increased sensitivity to light,","Rheumatoid arthritis,Systemic lupus erythematosus (SLE),"
Huminsulin  30/70 100IU/ml Cartridge 3ml,₹ 354,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,Edema (swelling),Weight gain,","Diabetes mellitus (Type 1 & Type 2),"
Hexigel Mouth Gel,₹ 51.80,"Taste change,Staining of teeth,Hard Dental Plaque,","Mouth infection,"
Hepamerz Granules,₹ 250,"No common side effects seen,","Liver  disease,"
Hcg 5000IU Injection,₹ 397.18,"Injection site pain,Headache,Fatigue,Depression,Irritation,Restlessness,","Female infertility,Male hypogonadism,"
Hepamerz Injection 10ml,"₹ 1,750","Injection site reactions (pain, swelling, redness),","Liver  disease,"
Hexidine Mouth Wash,₹ 99.40,"Taste change,Staining of teeth,Hard Dental Plaque,","Mouth infection,"
Hatric 3 Tablet,₹ 37.75,"Nausea,Vomiting,Stomach pain/epigastric pain,Insomnia (difficulty in sleeping),Restlessness,Allergic reaction,Sleepiness,Dizziness,Impaired coordination,Thickened respiratory tract secretions,Headache,","Common cold symptoms,"
Hifenac Tablet,₹ 47.50,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Pain relief,"
Hydroxyl  Mouth Wash,₹ 75,"Gum Irritation,","Mouth infection,"
Human Mixtard 70/30 Suspension for Injection 100IU/ml,₹ 410,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,Edema (swelling),Weight gain,","Diabetes mellitus (Type 1 & Type 2),"
Humalog Mix 25 100IU/ml Cartridge,₹ 819,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,","Diabetes mellitus (Type 1 & Type 2),"
Eyemist Forte Eye Drop,₹ 232,"Blurred vision,Eye irritation,Eye pain,Eye redness,Foreign body sensation in eyes,","Dry eyes,"
Eumosone-M Cream,₹ 101.15,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Emeset Syrup Juicy Lemon,₹ 37.52,"Headache,Constipation,Diarrhea,Fatigue,","Treatment of Nausea,Treatment of Vomiting,"
Eltroxin 50mcg Tablet,₹ 79.80,"Palpitations,Vomiting,Anxiety,Diarrhea,Flushing (sense of warmth in the face, ears, neck and trunk),Weight loss,Nervousness,Restlessness,","Hypothyroidism,"
Emlukast-FX Tablet,₹ 69,"Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,","Sneezing and runny nose due to allergies,"
Encicarb Injection,₹2954  ,"Vomiting,Headache,Dizziness,High blood pressure,Injection site reactions (pain, swelling, redness),Nausea,Dark colored stool,","Iron deficiency anemia,"
Enuff Capsule,₹ 107.50,"Vomiting,Fever,","Diarrhea,"
Eldoper 2mg Capsule,₹ 37.54,"Constipation,Nausea,Headache,Stomach pain,","Diarrhea,"
Equirex Tablet,₹ 58,"Sleepiness,Nausea,Constipation,Memory impairment,Dizziness,Blurred vision,Dryness in mouth,Difficulty in urination,Impaired coordination,Depression,","Irritable bowel syndrome,"
Emty Oral Solution,₹ 228.90,"Abdominal pain,Nausea,Vomiting,Diarrhea,","Constipation,Hepatic encephalopathy,"
Eritel LN 40 Tablet,₹ 167.70,"Sleepiness,Ankle swelling,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,","Hypertension (high blood pressure),"
Encorate Chrono 500 Tablet CR,₹ 108.86,"Nausea,Vomiting,Weight gain,Loss of appetite,Gum swelling,Headache,Sleepiness,Tremor,Hair loss,Liver injury,","Epilepsy,"
Ecosprin-AV 150 Capsule,₹ 50.80,"Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,","Prevention of heart attack and stroke,"
Embeta XR 50 Tablet,₹ 193.54,"Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Etos MR Tablet,₹ 117.50,"Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain due to muscle spasm,"
Ebast-M Tablet,₹ 166,"Nausea,Diarrhea,Dryness in mouth,Vomiting,Skin rash,Headache,Drowsiness,Flu-like symptoms,","Sneezing and runny nose due to allergies,"
Ebast 20 Tablet,₹ 115,"Sleepiness,Headache,Dryness in mouth,","Allergic conditions,"
Embeta XR 25 Tablet,₹ 135.07,"Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Ezedoc 10 Tablet,₹ 157.10,"Joint pain,Sinus inflammation,Diarrhea,Respiratory tract infection,","High cholesterol,"
Exafib 10 Tablet,₹ 558.60,"Bleeding,","Treatment and prevention of Blood clots,"
Ecosprin AV 150/20 Capsule,₹ 35.77,"Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,","Prevention of heart attack and stroke,"
Endoxan Tablet,₹ 42.42,"Vomiting,Nausea,Hair loss,Fever,Blood in urine,Diarrhea,Decreased white blood cell count (neutrophils),","Cancer,Nephrotic syndrome,"
Esofag-D Capsule SR,₹ 148,"Diarrhea,Flatulence,Stomach pain,Dryness in mouth,Headache,","Gastroesophageal reflux disease (Acid reflux),Functional dyspepsia,"
Eyemist Eye Drop,₹ 197,"Blurred vision,Eye irritation,Eye pain,Eye redness,Foreign body sensation in eyes,","Dry eyes,"
Etova 400 Tablet,₹ 87.80,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Dizziness,Drowsiness,Visual disturbance,","Pain relief,"
Eco Tears Eye Drop,₹ 105.46,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
Evalon Cream,₹ 421.20,"Vaginal irritation,Vaginal itching,","Menopausal symptoms,"
Epilive 500 Tablet,₹ 197.63,"Sleepiness,Dizziness,Fatigue,Headache,Decreased appetite,Behavioural changes,Aggressive behavior,Irritation,Agitation,Nasal congestion (stuffy nose),Infection,","Epilepsy/Seizures,"
Enzomac Tablet,₹ 205,"No common side effects seen,","Pain relief,"
Emeset Injection 2ml,₹ 131.20,"Headache,Constipation,Injection site pain,","Nausea,Vomiting,"
Istamet 50mg/500mg Tablet,₹ 379.50,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
Ivecop 12 Tablet,₹ 27,"No common side effects seen,","Parasitic infections,"
Ibugesic Plus Oral Suspension Strawberry,₹ 41.26,"Nausea,Vomiting,Abdominal pain,Heartburn,Diarrhea,","Pain relief,Treatment of Fever,"
Ivabrad 5 Tablet,₹ 338.55,"Slow heart rate,Headache,Luminous phenomena (Enhanced brightness),High blood pressure,","Angina (heart-related chest pain),Heart failure,"
Inderal 10 Tablet,₹ 19.27,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Imodium Capsule,₹ 15.80,"Constipation,Nausea,Headache,Stomach pain,","Diarrhea,"
Intagesic-MR Tablet,₹ 86,"Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,","Treatment of Pain due to muscle spasm,"
Indocap SR Capsule,₹ 115,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Dizziness,Drowsiness,Visual disturbance,","Pain relief,"
Isotroin 20 Capsule,₹ 299,"Dry skin,Increased liver enzymes,Rash,","Acne,"
Isolazine Tablet,₹ 87,"Nausea,Vomiting,Diarrhea,Loss of appetite,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Chest pain,Drug-induced lupus syndrome,Palpitations,Decreased blood pressure,Swelling of hands,Feet swelling,","Heart failure,"
Ibugesic Plus Tablet,₹ 27.50,"Heartburn,Indigestion,Nausea,Stomach pain,","Pain relief,Fever,"
Iverkind 12 Tablet DT,₹ 372.50,"No common side effects seen,","Parasitic infections,"
Imdur 30mg Tablet PR,₹ 156.60,"Headache,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),Orthostatic hypotension (sudden lowering of blood pressure on standing),","Prevention of Angina (heart-related chest pain),"
Inderal 40 Tablet,₹ 46.13,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Ivecop 6 Tablet,₹ 15,"No common side effects seen,","Parasitic infections,"
Ibset Tablet,₹ 413.35,"Constipation,Headache,","Nausea,Vomiting,"
Istavel 100mg Tablet,₹ 315,"Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Imol Plus Tablet,₹ 16.25,"Nausea,Indigestion,Stomach pain,Restlessness,Increased heart rate,Heartburn,","Pain relief,"
Idrofos 150 Tablet,₹ 755,"Headache,Musculoskeletal (bone, muscle or joint) pain,Heartburn,Diarrhea,Indigestion,","Osteoporosis,"
Indocap Capsule,₹ 51.65,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Dizziness,Drowsiness,Visual disturbance,","Pain relief,"
Istamet 50mg/1000mg Tablet,₹ 391,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
IT-Mac 200 Capsule,₹ 189,"Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,","Fungal infections,"
Inderal LA 20 Tablet SR,₹ 55.46,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Intaglip-M Tablet,₹ 93,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Inapure 5 Tablet,₹ 195,"Slow heart rate,Headache,Luminous phenomena (Enhanced brightness),High blood pressure,","Angina (heart-related chest pain),Heart failure,"
Influvac Tetra 2020/2021 Vaccine,₹1680  ,"Headache,Weakness,Injection site reactions (pain, swelling, redness),","Prevention of Influenza (flu),"
Ivoral Forte Tablet,₹ 44,"Nausea,Vomiting,Diarrhea,Loss of appetite,Increased liver enzymes,Itching,Dizziness,Swelling of lymph nodes,","Worm infections,"
Isolazine Tablet,₹ 157.75,"Nausea,Vomiting,Diarrhea,Loss of appetite,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Chest pain,Drug-induced lupus syndrome,Palpitations,Decreased blood pressure,Swelling of hands,Feet swelling,","Heart failure,"
Ibugesic Plus Tablet,₹ 17.05,"Heartburn,Indigestion,Nausea,Stomach pain,","Pain relief,Fever,"
Ibugesic ASP Tablet,₹ 71.39,"Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,","Pain relief,"
Clearwax Ear Drop,₹ 66.50,"No common side effects seen,","Treatment of Softening of earwax,"
Candid Cream,₹ 152.88,"Blister,Skin peeling,Swelling,Application site irritation,","Fungal skin infections,"
Cremalax Tablet,₹ 138.69,"Vomiting,Headache,Nausea,","Constipation,"
Clonotril 0.5 Tablet,₹ 51.90,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
CTD 12.5 Tablet,₹ 112.50,"Headache,Nausea,Dizziness,","Hypertension (high blood pressure),Treatment of Edema,"
Clobeta GM Cream,₹ 61,"Thinning of skin,Application site reactions (burning, irritation, itching and redness),Dryness,","Skin infections,"
Cetil 500 Tablet,₹ 943.95,"Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,","Bacterial infections,"
Cordarone Tablet,₹ 63.77,"Lung damage,Tachycardia,Congestive cardiac failure,Increased liver enzymes,","Treatment of Arrhythmia,"
Crotorax Cream,₹ 54.65,"Erythematous rash,Itching,Dry skin,Paresthesia (tingling or pricking sensation),","Scabies,"
Chymoral Plus Tablet,₹ 164.55,"Nausea,Vomiting,Indigestion,Stomach pain,Loss of appetite,Diarrhea,","Pain relief,"
Chymoral-AP Tablet,₹ 132.85,"Nausea,Vomiting,Heartburn,Stomach pain,Indigestion,Loss of appetite,Diarrhea,","Pain relief,"
Chericof Syrup,₹ 99,"Nausea,Vomiting,Loss of appetite,Headache,","Dry cough,"
Clopilet A 75 Capsule,₹ 53.50,"Abdominal pain,Bruise,Diarrhea,Gastrointestinal bleeding,Increased bleeding tendency,Nosebleeds,","Prevention of heart attack and stroke,"
Clingen Forte  Vaginal Capsule,₹ 155,"Vaginal burning sensation,Itching,Irritation,","Syndromic treatment of vaginal discharge,"
Colimex  Oral Drops,₹ 44.80,"Nausea,Vomiting,Blurred vision,Drowsiness,Nervousness,Constipation,Diarrhea,Burping,Loss of appetite,","Treatment of Abdominal pain,Treatment of Irritable bowel syndrome,"
Cefakind-CV 500 Tablet,₹ 435.60,"Nausea,Vomiting,Diarrhea,Increased liver enzymes,Allergic reaction,","Bacterial infections,"
Cefolac 200 Tablet,₹ 102.15,"Nausea,Stomach pain,Indigestion,Diarrhea,","Bacterial infections,"
Clonotril 0.25mg Tablet DT,₹ 28,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
Cardace 5 Tablet,₹ 131.21,"Dizziness,Drowsiness,Dry cough,Headache,Fatigue,Nausea,Vomiting,Decreased blood pressure,","Hypertension (high blood pressure),Prevention of heart attack and stroke,Heart failure,"
Ceftum 250mg Tablet,₹ 254.20,"Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,","Bacterial infections,"
Candid Lotion,₹ 119.95,"Blister,Skin peeling,Swelling,Application site irritation,","Fungal skin infections,"
Colospa Tablet,₹ 287.35,"Skin rash,","Irritable bowel syndrome,"
Carni-Q Tablet,₹ 350.20,"Nausea,Vomiting,Stomach pain,Dizziness,Tiredness,Headache,Irritation,Insomnia (difficulty in sleeping),Photosensitivity,Rash,Heartburn,Increased liver enzymes,","Nutritional deficiencies,"
Clonafit 0.25mg Tablet,₹ 19.72,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
Concor AM 5 Tablet,₹ 105.91,"Sleepiness,Headache,Ankle swelling,Flushing (sense of warmth in the face, ears, neck and trunk),Slow heart rate,Tiredness,Palpitations,Nausea,Edema (swelling),Constipation,Cold extremities,","Hypertension (high blood pressure),"
Clopilet Tablet,₹ 116.24,"Bleeding,","Prevention of heart attack and stroke,"
Colospa Retard Capsule,₹ 422.05,"Skin rash,","Irritable bowel syndrome,"
Candid-CL Vaginal Suppository,₹ 146,"Vaginal burning sensation,Itching,Irritation,","Syndromic treatment of vaginal discharge,"
Corex T Cough Syrup,₹ 111.54,"Nausea,Vomiting,Constipation,Lightheadedness,Dizziness,Sleepiness,Breathlessness,Sweating,","Dry cough,"
Cizaspa-X Tablet,₹ 87.95,"Sleepiness,Drowsiness,Fatigue,Confusion,Uncoordinated body movements,Abnormality of voluntary movements,Skin rash,Slurred speech,","Irritable bowel syndrome,"
Janumet 50 mg/500 mg Tablet,₹ 380,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
Janumet 50mg/1000mg Tablet,₹ 390,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
Jardiance 25mg Tablet,₹ 622,"Nausea,Frequent urge to urinate,Increased thirst,Urinary tract infection,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Jalra 50mg Tablet,₹ 300,"Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea,","Type 2 diabetes mellitus,"
Januvia 100mg Tablet,₹ 315,"Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Junior Lanzol 15mg Tablet DT,₹ 134.43,"Nausea,Headache,Flatulence,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Jalra-M  50mg/500mg Tablet,₹ 325,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Jardiance 10mg Tablet,₹ 513,"Nausea,Frequent urge to urinate,Increased thirst,Urinary tract infection,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Jalra-M  50mg/500mg Tablet,₹ 276.38,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Just Tears Eye Drop,₹ 96.61,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
